postcode,eastings,northings,source
BS1 6RT,359254,172055,postcodes
BS10 6NJ,357605,178281,terminated_postcodes
BS10 7QH,356369,179219,postcodes
BS11 0EB,353565,177054,postcodes
BS11 0SU,354526,178665,postcodes
BS11 0UT,354340,177616,postcodes
BS13 0RG,359137,167765,postcodes
BS13 9AJ,357570,168258,postcodes
BS13 9AX,356964,167905,postcodes
BS15 1NU,363439,174467,postcodes
BS15 3LA,363855,171694,postcodes
BS15 4JT,366433,173750,postcodes
BS15 8BD,364292,173280,postcodes
BS16 1BJ,361495,175852,postcodes
BS16 2HD,362685,175845,postcodes
BS16 4EA,363846,175542,postcodes
BS16 4RL,365021,174890,postcodes
BS16 6XA,365823,177133,postcodes
BS20 0HU,353062,175142,postcodes
BS20 7QR,346592,175294,postcodes
BS21 6AH,341539,172264,postcodes
BS21 6EX,340939,170817,postcodes
BS23 2AL,331743,161777,postcodes
BS23 4UT,331635,158759,postcodes
BS24 7DX,336395,161899,postcodes
BS24 8EE,334877,160710,postcodes
BS25 1PD,342863,157459,postcodes
BS25 5QN,343573,160094,postcodes
BS27 3AQ,345738,153103,postcodes
BS3 2JL,356264,171476,postcodes
BS3 4PZ,359417,171872,postcodes
BS30 8TS,367344,171620,postcodes
BS30 8XL,366946,173258,postcodes
BS30 8XQ,366835,173223,postcodes
BS31 1PH,366193,167947,postcodes
BS31 1SP,366238,168240,postcodes
BS32 4AJ,360717,182519,postcodes
BS32 9BS,362247,182062,postcodes
BS34 8SF,361679,179588,postcodes
BS35 1HT,363804,190863,postcodes
BS35 2JU,364681,190343,postcodes
BS35 3JT,362606,188488,postcodes
BS35 3LA,362752,188386,postcodes
BS35 4JN,357051,184980,postcodes
BS36 1JL,364902,180695,postcodes
BS37 4DX,371274,182056,postcodes
BS37 6EW,372687,181808,postcodes
BS37 7LB,370551,183722,postcodes
BS4 1QY,358507,169772,postcodes
BS4 5PS,362775,170527,postcodes
BS4 5RQ,363026,170256,postcodes
BS40 8QB,356724,162348,postcodes
BS48 2HN,347595,170419,postcodes
BS48 2NN,346784,171272,postcodes
BS48 3BX,348675,168840,postcodes
BS5 9JH,361040,173619,postcodes
BS6 5JL,359712,174735,postcodes
BS6 5RD,359028,174476,postcodes
BS6 6BU,358522,174103,postcodes
BS6 6DT,358273,174016,postcodes
